,0,1,2,3,4,5,6,7,8,9
1,0,15760.122,14110.834,9045.320,5567.685,1924.624,1100.859,402.891,2105.443,3169.004
2,,0,11524.506,6743.884,10192.525,14455.119,14682.451,15362.418,13674.708,12597.040
3,,,0,9545.879,10883.382,12233.960,13208.003,13786.484,12508.957,11938.376
4,,,,0,3494.222,7718.222,7957.776,8644.807,6947.821,5876.330
5,,,,,0,4404.563,4492.458,5169.937,3488.159,2407.919
6,,,,,,0,1182.864,1615.788,1313.327,2153.771
7,,,,,,,0,698.488,1010.198,2085.461
8,,,,,,,,0,1702.793,2768.608
9,,,,,,,,,0,1080.535
10,,,,,,,,,,0
