,0,1,2,3,4,5,6,7,8,9
1,0,2219.177,9948.044,528.700,413.365,827.719,681.035,917.127,832.147,729.056
2,,0,7767.946,2734.050,2628.491,3044.478,2898.713,3133.460,1812.455,1491.357
3,,,0,10433.061,10361.367,10773.531,10626.489,10862.966,9340.275,9236.840
4,,,,0,221.373,375.156,249.379,457.260,1156.583,1251.158
5,,,,,0,415.990,270.749,505.071,1171.964,1137.135
6,,,,,,0,147.047,89.491,1529.464,1553.124
7,,,,,,,0,236.515,1391.550,1407.404
8,,,,,,,,0,1613.556,1642.129
9,,,,,,,,,0,709.408
10,,,,,,,,,,0
