,0,1,2,3,4,5,6,7,8,9
1,0,15772.615,20215.646,9533.171,5604.200,3088.054,1311.039,471.266,2369.412,3349.657
2,,0,16003.499,7219.197,10221.031,16105.347,14909.170,15434.460,13950.576,12776.883
3,,,0,10690.484,14613.552,17509.903,18912.605,19748.936,17851.807,16873.244
4,,,,0,3935.293,8896.389,8228.355,9065.404,7168.733,6190.679
5,,,,,0,5893.070,4696.975,5221.253,3737.707,2564.171
6,,,,,,0,1781.823,2619.811,2162.802,3337.746
7,,,,,,,0,840.723,1068.940,2137.788
8,,,,,,,,0,1901.209,2883.735
9,,,,,,,,,0,1176.450
10,,,,,,,,,,0
