,0,1,2,3,4,5,6,7,8,9
1,0,2341.017,11929.300,651.187,496.332,947.743,770.737,1056.800,1260.511,737.714
2,,0,9597.441,2778.946,2830.145,3280.359,3104.286,3388.983,2380.461,1605.270
3,,,0,12323.288,12421.263,12871.483,12695.554,12979.133,10775.939,11196.787
4,,,,0,335.951,558.469,382.463,667.533,1653.826,1379.165
5,,,,,0,452.861,276.326,561.849,1755.106,1226.660
6,,,,,,0,177.593,110.218,2205.307,1677.667
7,,,,,,,0,287.430,2028.902,1500.993
8,,,,,,,,0,2314.667,1786.811
9,,,,,,,,,0,1006.368
10,,,,,,,,,,0
